disp_x,disp_y,id,vonmises_stress_nodal,x,y,z
0,0,0,83.5,0,0,0
0,0,1,83.5,0.035714285714286,0,0
2.3915608616232e-05,2.2575741676365e-05,2,83.5,0.035714285714286,0.035714285714286,0
6.7032108670921e-05,5.0602645706831e-05,3,83.5,0,0.035714285714286,0
0,0,4,81.727103260342,0.071428571428571,0,0
1.2858411483187e-05,1.6204667340686e-05,5,82.613551630171,0.071428571428571,0.035714285714286,0
0,0,6,76.238040982959,0.10714285714286,0,0
1.0400171907002e-05,1.4540269045443e-05,7,79.468694560124,0.10714285714286,0.035714285714286,0
0,0,8,70.20514913514,0.14285714285714,0,0
8.9210157595378e-06,1.41089300398e-05,9,74.174226702541,0.14285714285714,0.035714285714286,0
0,0,10,65.854401755243,0.17857142857143,0,0
7.5430375331629e-06,1.3526083635296e-05,11,69.060663013152,0.17857142857143,0.035714285714286,0
0,0,12,62.217209018371,0.21428571428571,0,0
6.3891496049171e-06,1.3096261728004e-05,13,65.195224358012,0.21428571428571,0.035714285714286,0
0,0,14,59.306503446882,0.25,0,0
5.3678671228206e-06,1.2728345625032e-05,15,61.990724911579,0.25,0.035714285714286,0
0,0,16,56.927710848351,0.28571428571429,0,0
4.4405351204277e-06,1.242763235724e-05,17,59.415238948809,0.28571428571429,0.035714285714286,0
0,0,18,54.976415749426,0.32142857142857,0,0
3.5809788787293e-06,1.217196088752e-05,19,57.313774982259,0.32142857142857,0.035714285714286,0
0,0,20,53.373443032196,0.35714285714286,0,0
2.7660018991023e-06,1.1953887705023e-05,21,55.604466816163,0.35714285714286,0.035714285714286,0
0,0,22,52.059709334378,0.39285714285714,0,0
1.9802141856151e-06,1.1762807652597e-05,23,54.218130128691,0.39285714285714,0.035714285714286,0
0,0,24,50.987926903747,0.42857142857143,0,0
1.210310491218e-06,1.1590621629313e-05,25,53.099037283169,0.42857142857143,0.035714285714286,0
0,0,26,50.109880563549,0.46428571428571,0,0
4.4921962967949e-07,1.1428377572e-05,27,52.19079091476,0.46428571428571,0.035714285714286,0
0,0,28,49.36803999366,0.5,0,0
-3.0222439521607e-07,1.1263077931557e-05,29,51.417609528117,0.5,0.035714285714286,0
0,0,30,48.675656812063,0.53571428571429,0,0
-1.0210512944852e-06,1.108906327568e-05,31,50.690195501467,0.53571428571429,0.035714285714286,0
0,0,32,47.984808238609,0.57142857142857,0,0
-1.6545301254156e-06,1.0884208459661e-05,33,49.893022453294,0.57142857142857,0.035714285714286,0
0,0,34,47.724147637769,0.60714285714286,0,0
-2.0779702096181e-06,1.0768557425388e-05,35,49.223299437885,0.60714285714286,0.035714285714286,0
0,0,36,48.802179879463,0.64285714285714,0,0
-2.3786580174997e-06,1.0968820417216e-05,37,49.984908705579,0.64285714285714,0.035714285714286,0
0,0,38,51.792548502302,0.67857142857143,0,0
-2.7909337995851e-06,1.1605011602812e-05,39,53.537155489504,0.67857142857143,0.035714285714286,0
0,0,40,56.102437325021,0.71428571428571,0,0
-3.6266920160037e-06,1.2461749088355e-05,41,59.049829078827,0.71428571428571,0.035714285714286,0
0,0,42,60.50936252141,0.75,0,0
-4.8377476275763e-06,1.3176868005132e-05,43,64.125955708536,0.75,0.035714285714286,0
0,0,44,64.31412612974,0.78571428571429,0,0
-6.2556166406939e-06,1.3637400008422e-05,45,67.870299208864,0.78571428571429,0.035714285714286,0
0,0,46,67.562240689355,0.82142857142857,0,0
-7.7012794342178e-06,1.3841874682612e-05,47,71.09531482169,0.82142857142857,0.035714285714286,0
0,0,48,70.975003713029,0.85714285714286,0,0
-9.0980958894843e-06,1.4143367366509e-05,49,74.973570361732,0.85714285714286,0.035714285714286,0
0,0,50,76.387004561483,0.89285714285714,0,0
-1.0530400794253e-05,1.4542271694151e-05,51,79.481673145206,0.89285714285714,0.035714285714286,0
0,0,52,81.710775079152,0.92857142857143,0,0
-1.2851018831446e-05,1.6168080817229e-05,53,82.605387539576,0.92857142857143,0.035714285714286,0
0,0,54,83.5,0.96428571428571,0,0
-2.2489383361479e-05,2.1296489946201e-05,55,83.5,0.96428571428571,0.035714285714286,0
0,0,56,83.5,1,0,0
-5.768041777191e-05,4.4025569777653e-05,57,83.5,1,0.035714285714286,0
6.4959675706344e-05,6.4960461303502e-05,58,83.5,0.035714285714286,0.071428571428571,0
8.7721470778178e-05,9.3815523819756e-05,59,83.5,0,0.071428571428571,0
3.6000915609654e-05,4.0340548338481e-05,60,83.5,0.071428571428571,0.071428571428571,0
2.2934293360405e-05,3.1686777016123e-05,61,83.099674068644,0.10714285714286,0.071428571428571,0
1.843908000084e-05,2.900754358853e-05,62,80.600676871709,0.14285714285714,0.071428571428571,0
1.584116313968e-05,2.7994918858216e-05,63,75.689263893787,0.17857142857143,0.071428571428571,0
1.3419474400553e-05,2.6949404099496e-05,64,70.960388095312,0.21428571428571,0.071428571428571,0
1.1308465515267e-05,2.6158749564418e-05,65,67.388007112695,0.25,0.071428571428571,0
9.3948097955578e-06,2.5492838185896e-05,66,64.418641134306,0.28571428571429,0.071428571428571,0
7.6254078874297e-06,2.4944265251527e-05,67,62.039668329908,0.32142857142857,0.071428571428571,0
5.960180245686e-06,2.4479317263807e-05,68,60.118469429511,0.35714285714286,0.071428571428571,0
4.3635993238086e-06,2.4080435076795e-05,69,58.583478619912,0.39285714285714,0.071428571428571,0
2.8106761900236e-06,2.3727590578723e-05,70,57.370399929233,0.42857142857143,0.071428571428571,0
1.2800151211093e-06,2.3400091870211e-05,71,56.41981509782,0.46428571428571,0.071428571428571,0
-2.3903334638784e-07,2.3074483166087e-05,72,55.668428682843,0.5,0.071428571428571,0
-1.7446947409801e-06,2.2709965982638e-05,73,55.039002461764,0.53571428571429,0.071428571428571,0
-3.2066240734423e-06,2.2309716855473e-05,74,54.451233096823,0.57142857142857,0.071428571428571,0
-4.576251102815e-06,2.1857872018593e-05,75,53.467040059159,0.60714285714286,0.071428571428571,0
-5.5437999588718e-06,2.2061680512034e-05,76,53.260648154182,0.64285714285714,0.071428571428571,0
-6.6253727964845e-06,2.3578623813278e-05,77,57.656533515418,0.67857142857143,0.071428571428571,0
-8.3485898266604e-06,2.5797090677877e-05,78,65.064780420663,0.71428571428571,0.071428571428571,0
-1.0804094224745e-05,2.7405360663017e-05,79,70.327569181415,0.75,0.071428571428571,0
-1.3230179353559e-05,2.8101357955075e-05,80,73.739315804863,0.78571428571429,0.071428571428571,0
