disp_x,disp_y,id,vonmises_stress_nodal,x,y,z
1.9866040678696e-06,1.1767466582843e-05,23,54.2514229309,0.39285714285714,0.035714285714286,0
0,0,24,51.009794524343,0.42857142857143,0,0
1.2130250836143e-06,1.1594555778403e-05,25,53.131443812088,0.42857142857143,0.035714285714286,0
0,0,26,50.124393366464,0.46428571428571,0,0
4.4704242560267e-07,1.1430568409164e-05,27,52.218299010256,0.46428571428571,0.035714285714286,0
0,0,28,49.370433712511,0.5,0,0
-3.1011940208016e-07,1.1262056748825e-05,29,51.434308454759,0.5,0.035714285714286,0
0,0,30,48.65906102689,0.53571428571429,0,0
-1.0345869981204e-06,1.1082996392879e-05,31,50.687556772651,0.53571428571429,0.035714285714286,0
0,0,32,47.938846162173,0.57142857142857,0,0
-1.6718870591486e-06,1.087095858232e-05,33,49.859631221278,0.57142857142857,0.035714285714286,0
0,0,34,47.642784220886,0.60714285714286,0,0
-2.0938094744772e-06,1.0746703730998e-05,35,49.145513216106,0.60714285714286,0.035714285714286,0
0,0,36,48.704552660301,0.64285714285714,0,0
-2.3851738679628e-06,1.0945088385929e-05,37,49.870443715061,0.64285714285714,0.035714285714286,0
0,0,38,51.715091363356,0.67857142857143,0,0
-2.7892242213035e-06,1.1587745251482e-05,39,53.441222629105,0.67857142857143,0.035714285714286,0
0,0,40,56.075972679679,0.71428571428571,0,0
-3.6189179095651e-06,1.2458477349185e-05,41,59.021606169262,0.71428571428571,0.035714285714286,0
0,0,42,60.530159911733,0.75,0,0
-4.8358588398083e-06,1.3183934659753e-05,43,64.161542329965,0.75,0.035714285714286,0
0,0,44,64.356809227171,0.78571428571429,0,0
-6.2563622022909e-06,1.3647647667826e-05,45,67.928279632095,0.78571428571429,0.035714285714286,0
0,0,46,67.615398852128,0.82142857142857,0,0
-7.7058891102238e-06,1.3852548194204e-05,47,71.144718039978,0.82142857142857,0.035714285714286,0
0,0,48,71.03306787241,0.85714285714286,0,0
-9.1027698863528e-06,1.4161158034534e-05,49,75.036725872903,0.85714285714286,0.035714285714286,0
0,0,50,76.467247819795,0.89285714285714,0,0
-1.0533628530579e-05,1.4546419244175e-05,51,79.548172156087,0.89285714285714,0.035714285714286,0
0,0,52,81.761394413956,0.92857142857143,0,0
-1.2884572791085e-05,1.6201647470662e-05,53,82.630697206978,0.92857142857143,0.035714285714286,0
0,0,54,83.5,0.96428571428571,0,0
-2.2680909147129e-05,2.1434845434689e-05,55,83.5,0.96428571428571,0.035714285714286,0
0,0,56,83.5,1,0,0
-5.8435597169419e-05,4.4516127774565e-05,57,83.5,1,0.035714285714286,0
6.4997192058345e-05,6.5045893879521e-05,58,83.5,0.035714285714286,0.071428571428571,0
8.7984072781774e-05,9.41473203758e-05,59,83.5,0,0.071428571428571,0
3.5965633219796e-05,4.0320930720489e-05,60,83.5,0.071428571428571,0.071428571428571,0
2.2929048041733e-05,3.168022227204e-05,61,83.098251581386,0.10714285714286,0.071428571428571,0
1.8450067727592e-05,2.9011543384835e-05,62,80.596833516826,0.14285714285714,0.071428571428571,0
1.5853805719367e-05,2.7998250967325e-05,63,75.690497853861,0.17857142857143,0.071428571428571,0
1.3435435763226e-05,2.6954279385295e-05,64,70.968359379621,0.21428571428571,0.071428571428571,0
1.1327426842387e-05,2.6164312005892e-05,65,67.400057902477,0.25,0.071428571428571,0
9.4155617201739e-06,2.5499894312219e-05,66,64.438401944528,0.28571428571429,0.071428571428571,0
7.6467478687424e-06,2.4953000477119e-05,67,62.068113699855,0.32142857142857,0.071428571428571,0
5.9801796109935e-06,2.4489588581902e-05,68,60.155545982996,0.35714285714286,0.071428571428571,0
4.3803814390158e-06,2.4091471831459e-05,69,58.627975369663,0.39285714285714,0.071428571428571,0
2.8220046297612e-06,2.3738094322323e-05,70,57.419553762893,0.42857142857143,0.071428571428571,0
1.2838662713707e-06,2.340789260753e-05,71,56.46908785417,0.46428571428571,0.071428571428571,0
-2.4435056372596e-07,2.3076541891767e-05,72,55.710990643439,0.5,0.071428571428571,0
-1.7599983954725e-06,2.2702026044617e-05,73,55.065731113334,0.53571428571429,0.071428571428571,0
